item,crop_id,days_seen,first_seen,last_seen,median_mode_price,peak_month,trough_month,median_qty_t,notes
بصل أبيض,,239,12/26/2015,7/2/2026,50,Feb,Apr,1.51,
ثوم ناشف بلدى,,233,5/30/2018,10/8/2020,150,Jul,May,1.65,
قطين,,227,2/13/2016,7/8/2026,300,Oct,Mar,0.49,
عسل,,202,2/7/2016,8/1/2026,250,Apr,Sep,0.56,
جوز,,193,8/17/2015,5/6/2026,250,Feb,Sep,0.3,
هيليون,,176,12/6/2015,7/21/2026,700,,,0.04,
فريكة,,157,6/6/2016,5/26/2026,80,,,1.95,
الخل,,142,5/3/2018,6/25/2026,90,Aug,May,0.42,
باشن فروت/جرانديلا/فاكهة العاطفة,,142,2/24/2022,8/5/2026,400,Jan,Jul,0.07,
سفرجل,,139,10/11/2015,5/7/2026,80,,,0.14,
أرضي شوكي/خرتشوف,,139,12/20/2015,6/15/2026,250,,,0.07,
زعمطوط,,121,12/19/2015,2/3/2026,70,,,0.07,
كرمب,,117,8/12/2015,3/31/2026,75,Sep,Apr,0.08,
نكترين كعكه,,104,8/4/2015,7/5/2026,80,May,Jun,1.91,
ثوم اخضر بلدى,,85,5/28/2018,3/11/2021,70,,,3.38,
شطة حمراء,,71,9/9/2015,2/7/2026,90,Aug,Nov,0.51,
افوجادو بيبي,,57,8/13/2015,12/21/2024,250,,,0.15,
بصل قنار,,51,8/10/2015,6/7/2026,80,Dec,Aug,0.6,
كيوي,,51,11/26/2016,3/22/2025,50,,,0.95,
تفاح زبداني,,50,8/2/2015,4/5/2025,70,,,1.16,
حصالبان (اكليل الجبل),,50,4/28/2022,7/30/2026,450,,,0.02,
بلوبري/توت,,48,3/26/2023,7/30/2026,700,,,0.26,
تفاح جولدن,,46,8/1/2015,10/3/2024,60,,,1.54,
زنجبيل,,46,11/27/2016,3/23/2026,250,,,0.58,
تفاح سميث,,45,8/1/2015,6/19/2024,65,,,1.63,
ملفوف صيني,,42,2/21/2016,12/20/2025,40,,,0.09,
كمــه,,40,12/20/2015,4/22/2026,1400,,,0.2,
زيت,,37,10/23/2017,2/7/2026,525,,,0.16,
بطاطا حلوة,,36,10/11/2015,9/21/2025,47.5,,,2.57,
كستنا,,36,11/12/2015,3/20/2025,0,,,0.48,
خروب,,34,5/21/2017,8/6/2026,80,,,0.07,
تمبل/وجن,,33,12/28/2015,8/19/2024,35,,,0.9,
فطر بيبي,,31,9/1/2015,7/1/2026,450,,,0.18,
أناناس,,28,1/27/2016,3/14/2026,125,,,0.65,
فواكه مجففة,,28,4/3/2016,1/20/2026,300,,,0.22,
عنب زيني,,27,8/2/2015,8/3/2023,80,,,1.59,
زبيب,,24,1/22/2020,7/8/2026,250,,,0.18,
بلوبري/راس بري/توت,,24,3/30/2023,6/22/2026,700,,,0.18,
تفاح ستاركن,,21,8/15/2015,9/17/2025,50,,,1.63,
كلورابي,,20,2/14/2019,3/14/2026,175,,,0.13,
حلوه بيضاء,,18,2/2/2016,5/25/2026,55,,,0.29,
بيبي كاروت /جزر,,18,1/15/2022,5/24/2026,225,,,0.06,
فلفل حار بيبي,,17,12/15/2019,6/13/2026,60,,,0.17,
حارة صفراء,,16,2/10/2016,3/4/2025,50,,,0.19,
قراسيا,,15,11/15/2017,8/5/2026,100,,,0.07,
مقدوس باذنجان,,14,12/1/2018,6/20/2026,150,,,0.3,
لموناضه,,14,9/6/2020,12/5/2024,100,,,0.14,
موز,,13,8/2/2015,4/12/2018,75,,,6.06,
جبنة,,13,3/28/2016,2/21/2026,300,,,0.18,
"بصل الوان (احمر،ابيض)",,13,5/28/2018,6/30/2026,50,,,4.33,
حلبه,,12,3/31/2016,3/6/2025,50,,,0.03,
تفاح فوجي,,11,10/8/2015,6/22/2021,50,,,1.61,
جوز هند,,11,3/16/2016,11/25/2025,70,,,0.96,
قلقاس,,11,11/11/2017,2/25/2026,70,,,1.01,
باتشن,,11,2/25/2024,2/27/2025,700,,,0.06,
بازيلا مبزره,,10,11/12/2015,2/21/2026,225,,,0.19,
خس(انديف ) مستورد,,10,11/9/2019,6/1/2026,400,,,0.12,
بلوبيري/كرز,,10,3/22/2023,6/8/2026,900,,,0.37,
تفاح دبل رداحمر,,9,8/18/2015,6/26/2022,60,,,1.33,
لوزعوجا,,9,3/20/2016,9/25/2024,400,,,0.15,
توت مستورد,,7,11/8/2018,7/2/2022,250,,,0.55,
زيتون مكبوس,,7,12/16/2020,2/23/2022,125,,,0.92,
أنديف/سبراوس /براوس,,7,4/4/2022,4/28/2022,300,,,0.11,
حرنكش,,7,5/26/2022,1/11/2024,300,,,0.02,
زعرور,,6,8/28/2017,12/25/2022,50,,,0.59,
مخلل لفت,,6,6/20/2020,12/16/2025,112.5,,,0.28,
قمرالدين,,5,6/13/2017,3/3/2024,100,,,0.3,
حميض,,4,12/30/2015,2/4/2026,55,,,0.08,
ليمون جراس,,4,3/30/2022,12/3/2025,85,,,0.13,
كيوانو,,4,12/12/2023,11/4/2024,450,,,0.2,
حرامات وسجادواقمشه,,4,5/21/2024,4/26/2025,0,,,0.42,
كباد/هندي/طرنج,,3,2/18/2016,1/28/2019,35,,,0.4,
جعده,,3,2/25/2016,2/11/2026,190,,,0.01,
حارة ماغنوم,,3,5/7/2022,3/24/2025,60,,,0.05,
بطاطا بيبي,,3,1/14/2023,6/19/2025,80,,,0.96,
سماق,,3,2/25/2024,5/5/2024,200,,,0.02,
ستارفروت,,3,8/11/2024,4/2/2026,450,,,0.47,
ليتشي,,3,6/27/2026,7/9/2026,350,,,0.18,
كيل ( كرنب مجعد ),,2,2/14/2018,2/15/2018,22.5,,,0.01,
موز مستورد - أجنبي,,2,6/3/2018,2/11/2024,65,,,4.11,
ملفوف احمر مستورد,,2,4/14/2022,4/18/2022,45,,,1.25,
سنوبيز/بزيلا بدون بزر,,2,4/23/2022,12/24/2023,300,,,0.12,
شيكو,,2,8/31/2025,9/13/2025,625,,,0.04,
